STATE,POPESTIMATE2020,POPESTIMATE2021,POPESTIMATE2022,POPCHANGE
AL,5031362,5049846,5074296,42934
AK,732923,734182,733583,660
AZ,7179943,7264877,7359197,179254
AR,3014195,3028122,3045637,31442
CA,39501653,39142991,39029342,-472311
CO,5784865,5811297,5839926,55061
CT,3597362,3623355,3626205,28843
DE,992114,1004807,1018396,26282
DC,670868,668791,671803,935
FL,21589602,21828069,22244823,655221
GA,10729828,10788029,10912876,183048
HI,1451043,1447154,1440196,-10847
ID,1849202,1904314,1939033,89831
IL,12786580,12686469,12582032,-204548
IN,6788799,6813532,6833037,44238
IA,3190571,3197689,3200517,9946
KS,2937919,2937922,2937150,-769
KY,4507445,4506589,4512310,4865
LA,4651664,4627098,4590241,-61423
ME,1363557,1377238,1385340,21783
MD,6173205,6174610,6164660,-8545
MA,6995729,6989690,6981974,-13755
MI,10069577,10037504,10034113,-35464
MN,5709852,5711471,5717184,7332
MS,2958141,2949586,2940057,-18084
MO,6153998,6169823,6177957,23959
MT,1087075,1106227,1122867,35792
NE,1962642,1963554,1967923,5281
NV,3115648,3146402,3177772,62124
NH,1378587,1387505,1395231,16644
NJ,9271689,9267961,9261699,-9990
NM,2118390,2116677,2113344,-5046
NY,20108296,19857492,19677151,-431145
NC,10449445,10565885,10698973,249528
ND,779518,777934,779261,-257
OH,11797517,11764342,11756058,-41459
OK,3964912,3991225,4019800,54888
OR,4244795,4256301,4240137,-4658
PA,12994440,13012059,12972008,-22432
RI,1096345,1096985,1093734,-2611
SC,5131848,5193266,5282634,150786
SD,887799,896164,909824,22025
TN,6925619,6968351,7051339,125720
TX,29232474,29558864,30029572,797098
UT,3283785,3339113,3380800,97015
VT,642893,646972,647064,4171
VA,8636471,8657365,8683619,47148
WA,7724031,7740745,7785786,61755
WV,1791420,1785526,1775156,-16264
WI,5896271,5880101,5892539,-3732
WY,577605,579483,581381,3776
PR,3281557,3262693,3221789,-59768
